[2026-08-11 17:21:35] 总保活脚本启动 PID=10728
[2026-08-11 17:21:35] 重启 cpu_keepalive.sh...
[2026-08-11 17:21:36] cpu_keepalive.sh 重启成功
[2026-08-11 17:21:36] 重启 dns_keepalive.sh...
[2026-08-11 17:21:37] dns_keepalive.sh 重启成功
[2026-08-11 17:21:37] 重启 api_keepalive.sh...
[2026-08-11 17:21:38] api_keepalive.sh 重启成功
[2026-08-11 17:21:48] 重启 comprehensive_keepalive.sh...
[2026-08-11 17:21:49] comprehensive_keepalive.sh 重启失败
[2026-08-11 17:21:59] 重启 comprehensive_keepalive.sh...
[2026-08-11 17:22:00] comprehensive_keepalive.sh 重启失败
[2026-08-11 17:22:10] 重启 comprehensive_keepalive.sh...
[2026-08-11 17:22:11] comprehensive_keepalive.sh 重启失败
[2026-08-11 17:22:22] 重启 comprehensive_keepalive.sh...
[2026-08-11 17:22:23] comprehensive_keepalive.sh 重启失败
[2026-08-11 17:22:33] 重启 comprehensive_keepalive.sh...
[2026-08-11 17:22:34] comprehensive_keepalive.sh 重启失败
[2026-08-11 17:22:44] 重启 comprehensive_keepalive.sh...
[2026-08-11 17:22:45] comprehensive_keepalive.sh 重启失败
[2026-08-11 17:22:55] 重启 comprehensive_keepalive.sh...
[2026-08-11 17:22:56] comprehensive_keepalive.sh 重启失败
[2026-08-11 17:23:07] 重启 comprehensive_keepalive.sh...
[2026-08-11 17:23:08] comprehensive_keepalive.sh 重启失败
[2026-08-11 17:23:18] 重启 comprehensive_keepalive.sh...
[2026-08-11 17:23:19] comprehensive_keepalive.sh 重启失败
[2026-08-11 17:23:29] 重启 comprehensive_keepalive.sh...
[2026-08-11 17:23:30] comprehensive_keepalive.sh 重启失败
[2026-08-11 17:23:41] 重启 comprehensive_keepalive.sh...
[2026-08-11 17:23:42] comprehensive_keepalive.sh 重启失败
[2026-08-11 17:23:42] 重启 network_keepalive.sh...
[2026-08-11 17:23:43] network_keepalive.sh 重启成功
[2026-08-11 17:23:43] 重启 io_keepalive.sh...
[2026-08-11 17:23:44] io_keepalive.sh 重启成功
[2026-08-11 17:23:44] 重启 process_keepalive.sh...
[2026-08-11 17:23:45] process_keepalive.sh 重启成功
[2026-08-11 17:23:45] 重启 timer_keepalive.sh...
[2026-08-11 17:23:46] timer_keepalive.sh 重启成功
[2026-08-11 17:23:56] 重启 comprehensive_keepalive.sh...
[2026-08-11 17:23:57] comprehensive_keepalive.sh 重启失败
